[19Dec2024 00:02:30.752] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 12], pos: MutableBlockPos{x=-280, y=145, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:42.886] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-11, 15], pos: MutableBlockPos{x=-174, y=83, z=241}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:42.887] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-11, 15], pos: MutableBlockPos{x=-173, y=82, z=242}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:42.887] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-11, 15], pos: MutableBlockPos{x=-175, y=82, z=245}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:43.422] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-10, 8], pos: MutableBlockPos{x=-160, y=113, z=140}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:43.422] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-10, 9], pos: MutableBlockPos{x=-160, y=113, z=144}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:43.422] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-10, 9], pos: MutableBlockPos{x=-156, y=112, z=144}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.085] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 17], pos: MutableBlockPos{x=-240, y=102, z=277}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.085] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 17], pos: MutableBlockPos{x=-237, y=103, z=285}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.085] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 17], pos: MutableBlockPos{x=-240, y=101, z=286}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.278] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-22, 19], pos: MutableBlockPos{x=-340, y=45, z=306}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.280] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-22, 19], pos: MutableBlockPos{x=-344, y=45, z=306}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.376] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=84, z=299}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.376] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=83, z=299}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.377] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=82, z=299}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.377] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=84, z=300}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.377] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=83, z=300}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.377] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=82, z=300}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.377] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=84, z=301}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.377] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=83, z=301}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.377] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=82, z=301}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.377] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=84, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.378] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=83, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.378] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=82, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.378] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-335, y=84, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.378] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-335, y=83, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.378] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-335, y=82, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.378] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=84, z=303}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.378] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=83, z=303}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.379] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=82, z=303}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.379] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=85, z=301}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.379] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=84, z=301}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.379] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=83, z=301}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.379] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-22, 19], pos: MutableBlockPos{x=-344, y=84, z=309}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.379] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-22, 19], pos: MutableBlockPos{x=-345, y=83, z=308}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.380] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=84, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.380] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=83, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.380] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=82, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.380] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-336, y=84, z=298}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:45.380] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-22, 19], pos: MutableBlockPos{x=-339, y=82, z=307}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:46.125] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 7], pos: MutableBlockPos{x=-336, y=132, z=126}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:48.445] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-11, 7], pos: MutableBlockPos{x=-163, y=59, z=112}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:49.994] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 18], pos: MutableBlockPos{x=-288, y=48, z=299}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:02:51.179] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-22, 20], pos: MutableBlockPos{x=-344, y=44, z=320}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:51.180] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 19], pos: MutableBlockPos{x=-336, y=44, z=315}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:51.180] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 19], pos: MutableBlockPos{x=-336, y=43, z=315}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:51.180] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 19], pos: MutableBlockPos{x=-336, y=42, z=315}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:51.180] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-22, 20], pos: MutableBlockPos{x=-347, y=43, z=323}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:51.323] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-371, y=134, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.323] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-371, y=133, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.323] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-371, y=132, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.324] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-370, y=134, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.324] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-370, y=133, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.324] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-370, y=132, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.324] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-369, y=134, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.324] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-369, y=133, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.324] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-369, y=132, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.324] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-370, y=134, z=209}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.324] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-370, y=133, z=209}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.324] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 13], pos: MutableBlockPos{x=-370, y=132, z=209}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:51.713] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-23, 19], pos: MutableBlockPos{x=-365, y=142, z=305}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:02:51.716] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-24, 18], pos: MutableBlockPos{x=-370, y=137, z=289}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:02:52.900] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-10, 20], pos: MutableBlockPos{x=-151, y=74, z=323}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:52.900] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-8, 18], pos: MutableBlockPos{x=-123, y=73, z=300}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:52.900] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-8, 18], pos: MutableBlockPos{x=-127, y=73, z=297}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:52.901] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-8, 18], pos: MutableBlockPos{x=-123, y=71, z=296}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:52.901] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-8, 19], pos: MutableBlockPos{x=-126, y=73, z=305}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:54.604] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-8, 20], pos: MutableBlockPos{x=-126, y=60, z=324}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:54.604] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-8, 19], pos: MutableBlockPos{x=-127, y=61, z=317}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:54.605] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-8, 20], pos: MutableBlockPos{x=-127, y=61, z=323}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:54.605] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-8, 20], pos: MutableBlockPos{x=-126, y=59, z=331}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:54.608] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-11, 21], pos: MutableBlockPos{x=-172, y=79, z=337}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:59.747] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 18], pos: MutableBlockPos{x=-272, y=64, z=301}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.748] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 18], pos: MutableBlockPos{x=-272, y=63, z=301}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.748] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 18], pos: MutableBlockPos{x=-272, y=64, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.748] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 18], pos: MutableBlockPos{x=-272, y=63, z=302}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.748] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 18], pos: MutableBlockPos{x=-272, y=64, z=303}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.748] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 18], pos: MutableBlockPos{x=-272, y=63, z=303}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.748] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 18], pos: MutableBlockPos{x=-271, y=64, z=303}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.748] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 18], pos: MutableBlockPos{x=-271, y=63, z=303}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.748] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 19], pos: MutableBlockPos{x=-272, y=64, z=304}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.749] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 19], pos: MutableBlockPos{x=-272, y=63, z=304}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.749] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 19], pos: MutableBlockPos{x=-272, y=65, z=305}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.749] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 19], pos: MutableBlockPos{x=-272, y=64, z=305}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.749] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 19], pos: MutableBlockPos{x=-272, y=63, z=305}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:59.949] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-20, 19], pos: MutableBlockPos{x=-317, y=69, z=312}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:02:59.950] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-20, 19], pos: MutableBlockPos{x=-320, y=69, z=312}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:03:00.044] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 19], pos: MutableBlockPos{x=-336, y=162, z=318}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:03:00.516] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: youcriper has made the advancement [We Need to Go Deeper]
[19Dec2024 00:03:00.516] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: youcriper has made the advancement [Incendium]
[19Dec2024 00:03:00.995] [Server thread/INFO] [do_a_barrel_roll/]: Client of youcriper accepted server config.
[19Dec2024 00:03:01.283] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-9, 10], pos: MutableBlockPos{x=-142, y=71, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:03:04.468] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-9, 20], pos: MutableBlockPos{x=-141, y=61, z=322}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
